Piper, Mark; University of Colorado; Bahr, Thomas;           Exelis VIS, GmbH;                       Collaborator
Piper, Mark; University of Colorado; Brown, Jed;             University of Colorado;                 Collaborator
Piper, Mark; University of Colorado; Clow, Gary;             USGS;                                   Collaborator
Piper, Mark; University of Colorado; Edwards, Paul;          University of Michigan;                 Collaborator
Piper, Mark; University of Colorado; Elshorbany, Yasin;      NSIDC;                                  Collaborator
Piper, Mark; University of Colorado; Hill, Mary;             University of Kansas;                   Collaborator
Piper, Mark; University of Colorado; Hutton, Eric;           University of Colorado;                 Collaborator
Piper, Mark; University of Colorado; Jafarov, Elchin;        University of Colorado;                 Collaborator
Piper, Mark; University of Colorado; Kelbert, Anna;          USGS;                                   Collaborator
Piper, Mark; University of Colorado; Kettner, Albert;        University of Colorado;                 Collaborator
Piper, Mark; University of Colorado; Knuth, Jennifer;        University of Colorado;                 Collaborator
Piper, Mark; University of Colorado; Norris, Boyana;         University of Oregon;                   Collaborator
Piper, Mark; University of Colorado; Overeem, Irina;         University of Colorado;                 Collaborator
Piper, Mark; University of Colorado; Peckham, Scott;         University of Colorado;                 Collaborator
Piper, Mark; University of Colorado; Perignon, Mariela;      University of Colorado;                 Collaborator
Piper, Mark; University of Colorado; Schaefer, Kevin;        NSIDC;                                  Collaborator
Piper, Mark; University of Colorado; Schwalm, Christopher;   Northern Arizona University;            Collaborator
Piper, Mark; University of Colorado; Stewart, J. Scott;      University of Colorado;                 Collaborator
Piper, Mark; University of Colorado; Syvitski, James;        University of Colorado;                 Collaborator
Piper, Mark; University of Colorado; Tucker, Greg;           University of Colorado;                 Collaborator
Piper, Mark; University of Colorado; Wallis, Jillian;        University of Southern California;      Collaborator
Piper, Mark; University of Colorado; Wang, Kang;             University of Colorado;                 Collaborator
Piper, Mark; University of Colorado; Yarmey, Lynn;           NSIDC;                                  Collaborator
Piper, Mark; University of Colorado; Zissimopoulos, Julie;   University of Southern California;      Collaborator
Piper, Mark; University of Colorado; Gamage, Nimal;          CA Technologies;			     Advisor
Piper, Mark; University of Colorado; Julien, Keith;          University of Colorado; 		     Advisor
Piper, Mark; University of Colorado; Kosovic, Branko;        NCAR;	   			     Advisor
Piper, Mark; University of Colorado; Lenschow, Donald; 	     NCAR;				     Advisor
Piper, Mark; University of Colorado; Weiss, Jeffrey; 	     University of Colorado;		     Advisor
Piper, Mark; University of Colorado; Blumen, William; 	     University of Colorado;		     ThesisAdvisor
